employer_name,employee_city,employee_state,regular_hourly_rate_parsed_counts
"AutoZoners, LLC",Las Vegas,NV,"{""13.35"": 1}"
"AutoZoners, LLC",Bronx,NY,"{""17.0"": 1}"
"AutoZoners, LLC",Cleveland,OH,"{""18.11"": 1}"
"AutoZoners, LLC",Columbus,OH,"{""18.25"": 1, ""22.0"": 1}"
"AutoZoners, LLC",Mansfield,OH,"{""12.25"": 1}"
"AutoZoners, LLC",Newcastle,OK,"{""17.0"": 1}"
"AutoZoners, LLC",Castle Shannon,PA,"{""16.0"": 1}"
"AutoZoners, LLC",Philadelphia,PA,"{""19.7"": 1}"
"AutoZoners, LLC",Elmwood,RI,"{""15.5"": 1}"
"AutoZoners, LLC",Mauldin,SC,"{""20.28"": 1}"
"AutoZoners, LLC",Lexington,TN,"{""18.0"": 1}"
"AutoZoners, LLC",7815 Hoffman St Houston,TX,"{""18.37"": 1}"
"AutoZoners, LLC",Beaumont,TX,"{""14.05"": 1}"
"AutoZoners, LLC",Casa View,TX,"{""12.6"": 1}"
"AutoZoners, LLC",Houston,TX,"{""15.5"": 1}"
"AutoZoners, LLC",Laredo,TX,"{""10.5"": 1}"
"AutoZoners, LLC",Naselle,WA,"{""16.5"": 1}"
"AutoZoners, LLC",Kenosha,WI,"{""21.46"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Nlr,AR,"{""12.5"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,North Little Rock,AR,"{""13.0"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Glendale,AZ,"{""15.71"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Mesa,AZ,"{""15.45"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Covington,GA,"{""13.5"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Griffin,GA,"{""11.25"": 1, ""11.75"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,748 Long Ave Rocky Mount,NC,"{""13.0"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Fayetteville,NC,"{""16.0"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Jacksonville,NC,"{""12.5"": 1}"
CHILD DEVELOPMENT SCHOOLS INC,Kenly,NC,"{""14.0"": 1}"
CVS Pharmacy,Glendale,AZ,"{""22.0"": 1}"
CVS Pharmacy,Riverside,CA,"{""20.0"": 1}"
CVS Pharmacy,Washington,DC,"{""18.39"": 1}"
CVS Pharmacy,South Bay,FL,"{""20.62"": 1}"
CVS Pharmacy,Summerfield,FL,"{""17.0"": 1}"
CVS Pharmacy,Jonesboro,GA,"{""16.0"": 1}"
CVS Pharmacy,Moultrie,GA,"{""15.0"": 1, ""15.13"": 1}"
CVS Pharmacy,Chicago,IL,"{""17.81"": 1}"
CVS Pharmacy,New Albany,IN,"{""19.19"": 1}"
CVS Pharmacy,Youngsville,LA,"{""15.0"": 1}"
CVS Pharmacy,Taneytown,MD,"{""19.0"": 1}"
CVS Pharmacy,Muskegon,MI,"{""16.48"": 1}"
CVS Pharmacy,Southfield,MI,"{""15.0"": 1}"
CVS Pharmacy,250 Pine Knot Lane,NC,"{""16.25"": 1}"
CVS Pharmacy,Camden,NJ,"{""19.24"": 1}"
CVS Pharmacy,Clementon,NJ,"{""16.53"": 1}"
CVS Pharmacy,Elmer,NJ,"{""18.0"": 1, ""18.63"": 1}"
CVS Pharmacy,Nutley,NJ,"{""19.39"": 1}"
CVS Pharmacy,East Patchogue,NY,"{""19.76"": 1}"
CVS Pharmacy,Allentown,PA,"{""16.0"": 1}"
CVS Pharmacy,Freeland,PA,"{""19.82"": 1}"
CVS Pharmacy,Philadelphia,PA,"{""17.5"": 1}"
CVS Pharmacy,Dallas,TX,"{""16.25"": 1, ""16.84"": 1}"
"CarMax Auto Superstores, Inc.",Altadena,CA,"{""19.97"": 1}"
"CarMax Auto Superstores, Inc.",Fremont,CA,"{""25.5"": 1}"
"CarMax Auto Superstores, Inc.",Lake Elsinore,CA,"{""22.5"": 1}"
"CarMax Auto Superstores, Inc.",Savannah,GA,"{""18.8"": 1}"
"CarMax Auto Superstores, Inc.",Des Plaines,IL,"{""22.0"": 1}"
"CarMax Auto Superstores, Inc.",Rosemont,IL,"{""21.0"": 1}"
"CarMax Auto Superstores, Inc.",Griffith,IN,"{""17.25"": 1}"
"CarMax Auto Superstores, Inc.",Baton Rouge,LA,"{""18.0"": 1}"
"CarMax Auto Superstores, Inc.",Dundalk,MD,"{""17.8"": 1}"
"CarMax Auto Superstores, Inc.",Jackson,MS,"{""16.92"": 1}"
"CarMax Auto Superstores, Inc.",Albuquerque,NM,"{""21.08"": 1}"
"CarMax Auto Superstores, Inc.",Allen,TX,"{""19.37"": 1}"
Cellco Partnership,Montgomery,AL,"{""22.574519"": 1}"
Cellco Partnership,Riverside,CA,"{""18.269231"": 1}"
Cellco Partnership,Tracy,CA,"{""20.673077"": 1}"
Cellco Partnership,Savannah,GA,"{""15.865385"": 1}"
Cellco Partnership,Scottville,MI,"{""18.817308"": 1}"
Cellco Partnership,St. Louis,MO,"{""16.586538"": 1}"
Cellco Partnership,Elmwood Park,NJ,"{""19.71158"": 1}"
Cellco Partnership,Piscataway,NJ,"{""19.711538"": 1}"
Cellco Partnership,Killeen,TX,"{""15.86538"": 1}"
Cellco Partnership,Norfolk,VA,"{""15.8653"": 1}"
Cellco Partnership,Vancouver,WA,"{""18.2692"": 1}"
"Charter Communications, LLC",San Diego,CA,"{""20.0"": 1}"
"Charter Communications, LLC",Kissimmee,FL,"{""18.01"": 1}"
"Charter Communications, LLC",Orlando,FL,"{""18.01"": 1}"
"Charter Communications, LLC",Seffner,FL,"{""18.01"": 1}"
"Charter Communications, LLC",St Petersburg,FL,"{""20.0"": 1}"
"Charter Communications, LLC",Brownsboro Farm,KY,"{""20.09"": 1}"
"Charter Communications, LLC",Louisville,KY,"{""27.51"": 1}"
"Charter Communications, LLC",Grandview,MO,"{""25.26"": 1}"
